SAMPLE DATA COUNTS, Gain:low 
cycle, well-0-amber, well-0-blue, well-0-red, well-1-amber, well-1-blue, well-1-red, well-2-amber, well-2-blue, well-2-red, well-3-amber, well-3-blue, well-3-red, well-4-amber, well-4-blue, well-4-red, well-5-amber, well-5-blue, well-5-red, well-6-amber, well-6-blue, well-6-red, well-7-amber, well-7-blue, well-7-red, well-8-amber, well-8-blue, well-8-red, 
0 ,-0.47014508, -0.33168289, -0.86293554, -0.91999227, -1.37361681, -1.38685775, -1.02493477, -1.1294359, -0.91492605, -1.07007611, -1.10674262, -1.25955081, -0.51010031, -1.35391092, -1.48187172, -0.81368971, -1.36707163, -1.03939652, -0.87288183, -1.0877974, -1.21042192, 0.3210572, -1.46143317, -1.31911242, 0.13912973, -1.41583383, -0.32406208, 
1 ,-0.53958178, -0.37732112, -0.89828777, -1.00834441, -1.36075747, -1.38029075, -0.96083039, -1.07899177, -0.94234252, -1.04180455, -1.10793698, -1.23020136, -0.52108663, -1.33401644, -1.46147573, -0.77738744, -1.34945321, -1.04921591, -0.8402198, -1.12360096, -1.18933976, 0.15798083, -1.44066596, -1.30150628, 0.07810825, -1.41245806, -0.36948892, 
2 ,-0.50739557, -0.33713794, -0.851161, -0.9189592, -1.34748375, -1.36869669, -0.92875695, -1.0695343, -0.84845543, -1.04590166, -1.08913732, -1.21968329, -0.48407274, -1.32466233, -1.45737112, -0.76023883, -1.34638226, -1.03187919, -0.81427717, -0.98427933, -1.159446, 0.39835778, -1.41251111, -1.29158092, 0.16554549, -1.40513396, -0.31314334, 
3 ,-0.49569497, -0.31268498, -0.82933605, -0.86147422, -1.34678149, -1.36403918, -0.91197103, -1.07072413, -0.80493158, -1.04639828, -1.05988944, -1.21400356, -0.488085, -1.32560647, -1.45332801, -0.78680432, -1.35583997, -1.06002855, -0.82536054, -0.92246729, -1.15142798, 0.57611883, -1.40415442, -1.29326069, 0.21588546, -1.40453327, -0.27572501, 
4 ,-0.50131643, -0.31391802, -0.82671517, -0.82987064, -1.3451885, -1.36607087, -0.92574906, -1.06337404, -0.80819547, -1.05494833, -1.09031951, -1.21408629, -0.47765499, -1.32547009, -1.44995666, -0.77144778, -1.34875131, -1.02045953, -0.82842666, -0.91759932, -1.15051663, 0.59572351, -1.41367149, -1.29190087, 0.20450935, -1.3977766, -0.26124382, 
5 ,-0.54114431, -0.30764872, -0.84199214, -0.85631472, -1.33692241, -1.35441041, -0.92732519, -1.05710232, -0.80993134, -1.04463959, -1.06093776, -1.20999432, -0.45940891, -1.32453525, -1.44487059, -0.77137947, -1.34523439, -1.01687586, -0.82225645, -0.94232017, -1.15225291, 0.56788349, -1.41154671, -1.28386068, 0.27494529, -1.38927579, -0.23746373, 
6 ,-0.54629254, -0.30512446, -0.84068018, -0.84115583, -1.33378065, -1.35601377, -0.95412731, -1.06430471, -0.8249144, -1.03779936, -1.08138692, -1.20300364, -0.46235585, -1.321365, -1.44209635, -0.77277726, -1.34464109, -1.01011169, -0.81662583, -0.89621943, -1.13922894, 0.58798724, -1.41115046, -1.28598011, 0.21414749, -1.38802218, -0.26552328, 
7 ,-0.48888496, -0.30325612, -0.83422226, -0.81387645, -1.32817364, -1.35467124, -0.94916081, -1.06216717, -0.84660596, -1.03176963, -1.06481445, -1.19887209, -0.46591932, -1.31916034, -1.43786728, -0.77311873, -1.34437323, -1.02127075, -0.80701464, -0.89806867, -1.1424185, 0.59104937, -1.41539896, -1.28670347, 0.21051237, -1.3732698, -0.275332, 
8 ,-0.49232838, -0.28978637, -0.83534813, -0.83854628, -1.32260251, -1.35229731, -0.94068676, -1.05552053, -0.82610041, -1.03212619, -1.05626869, -1.20034802, -0.45326415, -1.31610537, -1.43180585, -0.7736845, -1.34115148, -1.01605034, -0.80178618, -0.88901275, -1.13031876, 0.57135201, -1.41609406, -1.27785099, 0.26440677, -1.35878515, -0.23634204, 
9 ,-0.50267965, -0.28351206, -0.80571002, -0.81734908, -1.31381905, -1.33427954, -0.93422967, -1.05144727, -0.82882929, -1.02897263, -1.04966223, -1.19144869, -0.43769184, -1.30847192, -1.42500091, -0.76271701, -1.33820236, -1.02986097, -0.78200376, -0.87107497, -1.11873055, 0.64265686, -1.4036653, -1.280056, 0.33321032, -1.35609448, -0.21143277, 
10 ,-0.52388889, -0.30787322, -0.85442305, -0.89860642, -1.32389188, -1.34181309, -0.94527239, -1.04321241, -0.87296027, -1.022282, -1.06582177, -1.19970429, -0.43456408, -1.31380129, -1.42093801, -0.77800673, -1.33676589, -1.03797853, -0.76423657, -0.94677675, -1.11979258, 0.38414386, -1.4191823, -1.27359569, 0.20877503, -1.34153676, -0.25398543, 
11 ,-0.48601621, -0.27889603, -0.83662039, -0.81315678, -1.3195281, -1.34440815, -0.93923527, -1.03760421, -0.81539518, -1.01198602, -1.03765118, -1.19289064, -0.43812507, -1.31154287, -1.42031312, -0.77507347, -1.33406186, -1.01821625, -0.76028097, -0.86444658, -1.1220988, 0.65100086, -1.41047454, -1.27134645, 0.2696127, -1.32941937, -0.21235295, 
12 ,-0.47330508, -0.27510682, -0.82090789, -0.83771175, -1.31698084, -1.3373965, -0.92947388, -1.03805339, -0.80346972, -1.00635517, -1.0206691, -1.18006074, -0.41918492, -1.3056066, -1.42064428, -0.7603789, -1.33315539, -1.01567554, -0.75727504, -0.86091048, -1.1062057, 0.62462509, -1.40456378, -1.26786375, 0.33787352, -1.32635963, -0.18721147, 
13 ,-0.51905882, -0.28359431, -0.83024752, -0.83462083, -1.31299531, -1.33701956, -0.92987472, -1.03615165, -0.85882592, -1.00268459, -1.03896105, -1.18079865, -0.44208503, -1.31049728, -1.42335498, -0.7625941, -1.33042359, -1.03591335, -0.75062859, -0.91277808, -1.11370766, 0.38130176, -1.40016639, -1.26185739, 0.24800344, -1.32701588, -0.24870752, 
14 ,-0.46898106, -0.27112684, -0.82477975, -0.84626967, -1.31286347, -1.32996333, -0.94229263, -1.04278994, -0.84980613, -1.00386488, -1.02309752, -1.17991245, -0.4312261, -1.30814278, -1.41902781, -0.76052636, -1.32833397, -1.02969658, -0.72869676, -0.86812395, -1.08507502, 0.55060583, -1.39836025, -1.25946891, 0.30286837, -1.32119393, -0.20957483, 
15 ,-0.50203741, -0.2867727, -0.83691061, -0.8921454, -1.31436205, -1.32969475, -0.94367987, -1.04207337, -0.87931746, -0.9982301, -1.0356847, -1.17861819, -0.43323907, -1.3087219, -1.41986811, -0.75694513, -1.32519948, -1.02872503, -0.73143882, -0.94412273, -1.09214735, 0.34911361, -1.40419352, -1.25585806, 0.2435409, -1.3186605, -0.24084349, 
16 ,-0.52214962, -0.25772434, -0.79908776, -0.82280046, -1.31505871, -1.32421255, -0.9522649, -1.04352427, -0.81856203, -0.99754685, -1.01210642, -1.17990541, -0.42630485, -1.31080723, -1.41822147, -0.76260233, -1.32899451, -1.02515268, -0.73705423, -0.82118362, -1.09604979, 0.57604444, -1.4009974, -1.26254785, 0.28034285, -1.31824994, -0.20417614, 
17 ,-0.50098759, -0.26200798, -0.80847442, -0.83649457, -1.31277251, -1.32762277, -0.95513505, -1.05045748, -0.92223036, -0.99543768, -1.02574611, -1.16868639, -0.41367272, -1.30147147, -1.41346645, -0.74651712, -1.32613444, -0.96664268, -0.71808916, -0.88237619, -1.07758093, 0.69333643, -1.39284205, -1.2549324, 0.25019288, -1.3190707, -0.24680178, 
18 ,-0.47732124, -0.24616805, -0.80597633, -0.81820196, -1.31162298, -1.31945682, -0.96576303, -1.04754043, -0.95712847, -0.98772717, -1.02480793, -1.17331707, -0.41320649, -1.30262613, -1.40711367, -0.75399894, -1.32503176, -0.94980294, -0.72246999, -0.87876993, -1.09392762, 0.81079769, -1.38429642, -1.25638282, 0.26262647, -1.31436431, -0.22855099, 
19 ,-0.50362635, -0.2556881, -0.79761827, -0.85285121, -1.31036758, -1.31621325, -0.97253716, -1.0600152, -0.97314, -0.9900223, -1.03609228, -1.16837513, -0.41491023, -1.30022252, -1.40669, -0.74668652, -1.32351863, -0.94901013, -0.72528809, -0.90367776, -1.08524108, 0.7399919, -1.38793314, -1.254475, 0.17346083, -1.31495202, -0.27995619, 
20 ,-0.48038036, -0.21931468, -0.7769984, -0.79220349, -1.30645323, -1.31820309, -0.94686884, -1.0553304, -0.78490275, -0.98581588, -1.00612152, -1.16138422, -0.45274028, -1.3022871, -1.41054773, -0.74372655, -1.32383168, -1.00659668, -0.72192454, -0.78787428, -1.0781095, 1.01691151, -1.35100973, -1.25081933, 0.44325191, -1.30788696, -0.13403615, 
21 ,-0.48313046, -0.22418298, -0.77286333, -0.80721718, -1.30872858, -1.31398749, -0.95778173, -1.05189574, -0.82274681, -0.98302436, -1.01498973, -1.16323137, -0.45747775, -1.29954708, -1.40243018, -0.74669755, -1.32147217, -0.97733444, -0.69704074, -0.81127053, -1.07959783, 1.01777327, -1.33892858, -1.25180519, 0.42011461, -1.30380964, -0.14286722, 
22 ,-0.49312025, -0.2247088, -0.77361733, -0.80372202, -1.30806053, -1.31162715, -0.95171684, -1.04835534, -0.82712287, -0.98450816, -1.01169956, -1.15971267, -0.46455294, -1.29480147, -1.39638066, -0.74564326, -1.32137239, -0.99137765, -0.69386774, -0.80542219, -1.06157064, 0.93816364, -1.35499394, -1.24412692, 0.41812003, -1.30342388, -0.1386835, 
23 ,-0.44035006, -0.21924135, -0.7718966, -0.75087732, -1.30264509, -1.30295002, -0.95535195, -1.04867709, -0.78939497, -0.96961802, -0.99980181, -1.14851463, -0.47481439, -1.29688323, -1.39671111, -0.74034333, -1.31811512, -0.96500409, -0.69465846, -0.79978001, -1.06929934, 1.03341818, -1.33729208, -1.24220502, 0.44275922, -1.30396628, -0.12116566, 
24 ,-0.49857885, -0.24302401, -0.78402096, -0.83121437, -1.30896986, -1.31019676, -0.96181363, -1.04735243, -0.8919872, -0.97251189, -1.02310288, -1.15746415, -0.49006933, -1.30431938, -1.40150082, -0.74582028, -1.31868649, -0.98817575, -0.69355601, -0.87618005, -1.06757045, 0.91560119, -1.37307, -1.23967886, 0.38435823, -1.30487263, -0.15142155, 
25 ,-0.4073711, -0.22437672, -0.74370188, -0.796422, -1.30119431, -1.29845631, -0.94645029, -1.04220879, -0.8383925, -0.96621412, -0.99908125, -1.14789546, -0.45933884, -1.29238391, -1.3938905, -0.72929156, -1.3126477, -0.96792287, -0.67898482, -0.7928943, -1.04978037, 0.9989326, -1.33732307, -1.23792243, 0.47077218, -1.2927655, -0.12345858, 
26 ,-0.38793442, -0.22317758, -0.75015217, -0.82386976, -1.30207455, -1.28789222, -0.95256442, -1.04064119, -0.83304858, -0.95769948, -0.99317992, -1.14693701, -0.46650717, -1.29492414, -1.39119267, -0.73541409, -1.30982971, -0.99972099, -0.67561406, -0.78422672, -1.05662978, 0.99752241, -1.34956408, -1.23498785, 0.45743313, -1.29312062, -0.12758981, 
27 ,-0.44160163, -0.21537767, -0.77344024, -0.80724686, -1.2991612, -1.29380882, -0.9533729, -1.04039276, -0.85727513, -0.95246625, -0.97789896, -1.1424489, -0.47516057, -1.29371119, -1.38844359, -0.73704672, -1.31024063, -0.99916351, -0.67194527, -0.81109655, -1.04994869, 0.97023076, -1.34139454, -1.23014569, 0.45487192, -1.29018438, -0.12275873, 
28 ,-0.46306399, -0.21274717, -0.76315296, -0.80254358, -1.29606152, -1.28849149, -0.95390004, -1.04393792, -0.82767785, -0.95199215, -0.98842448, -1.14607525, -0.4688271, -1.28715181, -1.38245285, -0.73168051, -1.3088764, -0.99389058, -0.67093706, -0.76530337, -1.05168569, 0.98923659, -1.32411945, -1.23533154, 0.46596321, -1.28600907, -0.1204385, 
29 ,-0.47205943, -0.20493683, -0.76951009, -0.77881187, -1.29469848, -1.29475725, -0.96965593, -1.05821347, -0.82924259, -0.94537306, -0.98783833, -1.13925099, -0.46863627, -1.28029609, -1.37519038, -0.72288698, -1.30998039, -0.98650074, -0.65636343, -0.78258455, -1.03613913, 0.97525603, -1.32343316, -1.22950339, 0.4901641, -1.28470361, -0.12508787, 
30 ,-0.42793828, -0.23002119, -0.77690798, -0.83421898, -1.29372418, -1.29068422, -0.96730334, -1.0545547, -0.88310462, -0.92946154, -0.98448461, -1.13199651, -0.44649819, -1.27597117, -1.370049, -0.71232271, -1.30704582, -0.98936701, -0.66040468, -0.81926864, -1.0437032, 0.8258028, -1.34946358, -1.22555661, 0.44636548, -1.28259492, -0.14346509, 
31 ,-0.40642759, -0.22353457, -0.77184641, -0.82553923, -1.29087377, -1.2808069, -0.96362805, -1.05653703, -0.88476628, -0.91301095, -0.98233241, -1.12488472, -0.43752125, -1.27617979, -1.36251605, -0.71095383, -1.30561662, -0.99590868, -0.62815028, -0.80138344, -1.03368342, 0.97016662, -1.34684038, -1.21806085, 0.44155541, -1.28062785, -0.13602616, 
32 ,-0.37218022, -0.22598559, -0.74123579, -0.81210113, -1.28781784, -1.26371002, -0.93716222, -1.05297363, -0.89145631, -0.89535129, -0.9917472, -1.11494923, -0.42703584, -1.26908648, -1.35550404, -0.68025434, -1.30073667, -0.98981071, -0.62977141, -0.8171435, -1.03313255, 0.84259862, -1.34649909, -1.21113122, 0.50415701, -1.2805953, -0.12776622, 
33 ,-0.39873397, -0.21321252, -0.75459367, -0.76111996, -1.2903353, -1.26783192, -0.94702309, -1.05219781, -0.84762639, -0.88309562, -0.96935296, -1.1170944, -0.39786437, -1.27537036, -1.35133004, -0.68547523, -1.30429089, -0.95982176, -0.62352085, -0.78236741, -1.04006112, 1.01484179, -1.34815204, -1.20535815, 0.48812893, -1.28231275, -0.09962744, 
34 ,-0.39857805, -0.20866881, -0.76171279, -0.75225765, -1.28582966, -1.27755094, -0.93151116, -1.05297136, -0.85879862, -0.86905688, -0.98060292, -1.10910428, -0.39243698, -1.27389395, -1.34959102, -0.66571981, -1.30532146, -0.97313863, -0.59870243, -0.78293538, -1.02733052, 1.00456512, -1.35049582, -1.20287597, 0.54718179, -1.27888024, -0.08772907, 
35 ,-0.3493813, -0.19747505, -0.72505045, -0.70015794, -1.28068745, -1.25041831, -0.91830355, -1.04481316, -0.83452982, -0.8531087, -0.97368413, -1.10387993, -0.37793404, -1.27184856, -1.34203517, -0.65672135, -1.29995346, -0.96638471, -0.58826536, -0.79286355, -1.02085042, 1.06426692, -1.3318038, -1.19463539, 0.52271301, -1.27550614, -0.09470034, 
36 ,-0.36261991, -0.19543549, -0.71802789, -0.7008968, -1.27443659, -1.25292861, -0.90293545, -1.04515719, -0.82519203, -0.83728081, -0.96471137, -1.08941674, -0.33248696, -1.27057457, -1.34045911, -0.63063562, -1.29527247, -0.95320368, -0.57259452, -0.73726934, -1.01906967, 1.16923571, -1.30422664, -1.18456161, 0.59684509, -1.26997805, -0.07471959, 
37 ,-0.3180384, -0.20064735, -0.73190403, -0.72112203, -1.26818931, -1.24855745, -0.8818621, -1.0385077, -0.86430669, -0.82231337, -0.97244829, -1.07913673, -0.35928544, -1.26132083, -1.33102655, -0.61768645, -1.29536891, -0.95583689, -0.5615105, -0.84087652, -0.99504173, 0.9681474, -1.34140301, -1.1744988, 0.5463267, -1.26650465, -0.10098596, 
38 ,-0.34451461, -0.18421401, -0.73114526, -0.65938967, -1.26697636, -1.24046099, -0.8770256, -1.03771698, -0.80742472, -0.8149488, -0.96483403, -1.07747972, -0.31676191, -1.26268721, -1.32729673, -0.60102308, -1.29034495, -0.94629514, -0.55510741, -0.74085295, -1.0017463, 1.14761758, -1.33841944, -1.17361689, 0.56586844, -1.26522195, -0.07508155, 
39 ,-0.32224166, -0.21956724, -0.73922151, -0.71182078, -1.27220428, -1.23978484, -0.88362074, -1.04214478, -0.93511486, -0.81078434, -0.97183627, -1.08221912, -0.21726198, -1.27333808, -1.33669388, -0.59814471, -1.29449594, -0.8612839, -0.54656112, -0.78924048, -1.0001204, 1.01482677, -1.34551466, -1.1740973, 0.42682615, -1.27149749, -0.16130291, 
40 ,-0.31349984, -0.21801263, -0.72777241, -0.68658602, -1.27270496, -1.22605133, -0.88046646, -1.04507554, -0.96344775, -0.79810524, -0.97713864, -1.07020605, -0.26308823, -1.26681888, -1.32630384, -0.58287567, -1.2910676, -0.86973739, -0.52947092, -0.81832278, -0.99181616, 0.88338387, -1.34026861, -1.16612768, 0.39807749, -1.26583147, -0.17530437, 
41 ,-0.26495558, -0.22090018, -0.73214984, -0.64780438, -1.27136874, -1.22612822, -0.88775504, -1.04907084, -0.94528216, -0.7887432, -0.96687543, -1.07827818, -0.21377338, -1.2713728, -1.32164311, -0.5932222, -1.29394913, -0.86460817, -0.53175843, -0.78061026, -0.9899087, 1.00540364, -1.34910929, -1.16417742, 0.40224814, -1.26417184, -0.16446815, 
42 ,-0.26628917, -0.19697501, -0.72179103, -0.64496607, -1.26714838, -1.23195374, -0.87322569, -1.04872322, -0.93738967, -0.78201717, -0.97127897, -1.07469773, -0.21699408, -1.26643014, -1.31860447, -0.5684129, -1.29182816, -0.85416234, -0.51810426, -0.7985121, -0.9978565, 1.03086293, -1.33967483, -1.15867603, 0.3969568, -1.26131403, -0.17906247, 
43 ,-0.28404978, -0.19581124, -0.69230795, -0.6395961, -1.26766539, -1.21577382, -0.86576504, -1.04480481, -0.90222347, -0.77164596, -0.97574109, -1.06827497, -0.29621074, -1.26182616, -1.31320333, -0.56143796, -1.28394866, -0.92372698, -0.51629364, -0.82703179, -0.99063987, 0.8917703, -1.344172, -1.15099704, 0.49439767, -1.26323891, -0.13546202, 
44 ,-0.25143632, -0.19189188, -0.71256632, -0.64299881, -1.26402462, -1.22719622, -0.85720724, -1.0402329, -0.85411555, -0.75703567, -0.96837282, -1.05938959, -0.30948684, -1.25978827, -1.30933332, -0.55260277, -1.28168678, -0.92813522, -0.49942729, -0.79415751, -0.97977847, 0.91593355, -1.33879673, -1.14966702, 0.62381268, -1.25146568, -0.07866035, 
45 ,-0.26841363, -0.15855302, -0.67358238, -0.54263401, -1.25293374, -1.21869802, -0.83558476, -1.03850663, -0.75446898, -0.75299203, -0.93079859, -1.05640388, -0.20956682, -1.25652397, -1.30708802, -0.53328812, -1.2790035, -0.86944419, -0.48867813, -0.70198727, -0.98104703, 1.27122104, -1.30307078, -1.14202988, 0.72880399, -1.24835145, -0.03315953, 

